"id","operation_id","article_id","amount","time","week_number","type"
757,1330,30,"-1.00","2021-07-03 17:33:49.216275","26",0
792,1390,30,"-1.00","2021-07-03 18:38:27.688673","26",0
812,1422,30,"-1.00","2021-07-03 18:57:27.671708","26",0
828,1448,30,"-1.00","2021-07-03 19:28:09.657435","26",0
836,1462,30,"-2.00","2021-07-03 19:39:30.242454","26",0
843,1480,30,"-1.00","2021-07-13 15:21:51.11409","28",0
846,1488,30,"-1.00","2021-07-20 11:30:32.223357","29",0
862,1511,30,"-1.00","2021-08-08 14:43:58.466283","31",0
869,1521,30,"-3.00","2021-08-26 08:42:54.465989","34",0
894,1548,48,"-1.00","2021-09-03 14:43:54.360613","35",0
983,1700,30,"-1.00","2021-09-05 18:07:26.854096","35",0
1024,1773,48,"-1.00","2021-09-14 09:53:54.22282","37",0
1057,1820,48,"-1.00","2021-09-15 15:23:27.95579","37",0
1068,1834,30,"-1.00","2021-09-15 16:32:39.551856","37",1
1084,1855,47,"-1.00","2021-09-15 19:00:20.286476","37",0
1138,1930,30,"-1.00","2021-09-16 14:39:36.00945","37",0
1151,1956,49,"-1.00","2021-09-16 15:05:00.494045","37",0
1238,2112,47,"-1.00","2021-09-16 18:56:45.344712","37",0
1277,2181,47,"-1.00","2021-09-16 19:35:58.739018","37",0
1278,2181,48,"-1.00","2021-09-16 19:35:58.739018","37",0
1280,2183,47,"-1.00","2021-09-16 19:37:16.612142","37",0
1288,2193,48,"-1.00","2021-09-16 19:39:24.636064","37",0
1345,2267,49,"-1.00","2021-09-17 11:58:21.13189","37",0
1389,2352,30,"-1.00","2021-09-20 16:45:09.906444","38",0
1390,2353,49,"-1.00","2021-09-20 16:50:15.189559","38",0
1392,2354,30,"-1.00","2021-09-20 16:53:27.870293","38",0
1397,2362,48,"-1.00","2021-09-21 13:41:41.493745","38",0
1398,2364,30,"-1.00","2021-09-21 14:06:50.894402","38",0
1400,2367,47,"-1.00","2021-09-21 15:40:18.441272","38",0
1402,2369,49,"-1.00","2021-09-21 16:25:34.063033","38",0
1403,2370,48,"-1.00","2021-09-22 09:32:08.061827","38",0
1410,2382,30,"-1.00","2021-09-22 14:39:20.432411","38",0
1411,2384,30,"-1.00","2021-09-22 14:46:41.416526","38",0
1412,2384,47,"-1.00","2021-09-22 14:46:41.416526","38",0
1417,2392,49,"-1.00","2021-09-23 15:35:07.630834","38",1
1418,2392,30,"-1.00","2021-09-23 15:35:07.630834","38",1
1606,2676,49,"-1.00","2021-09-27 16:24:48.513667","39",0
1610,2684,49,"-2.00","2021-09-27 16:27:11.404202","39",0
1668,2772,30,"-1.00","2021-09-27 17:13:58.113616","39",0
1711,2834,49,"-1.00","2021-09-27 17:40:41.792121","39",0
1722,2852,30,"-1.00","2021-09-27 17:46:14.526849","39",0
1724,2856,49,"-1.00","2021-09-27 17:47:22.873265","39",0
1756,2914,48,"-1.00","2021-09-27 18:18:35.583132","39",0
1859,3099,30,"-1.00","2021-09-27 19:42:59.671493","39",0
1862,3103,47,"-1.00","2021-09-27 19:43:39.486753","39",0
1863,3105,48,"-1.00","2021-09-27 19:44:04.205018","39",0
1869,3113,47,"-1.00","2021-09-29 12:12:15.776174","39",0
1879,3129,30,"-1.00","2021-09-29 13:07:27.655636","39",0
1917,3193,48,"-1.00","2021-09-29 14:46:22.206808","39",0
1991,3303,30,"-1.00","2021-09-29 16:06:50.656921","39",0
2028,3360,30,"-1.00","2021-09-29 16:31:07.782903","39",0
2031,3365,30,"-1.00","2021-09-29 16:32:39.405799","39",0
2050,3399,47,"-1.00","2021-09-29 16:55:08.299962","39",0
2140,3555,30,"-1.00","2021-09-29 18:05:15.573602","39",0
2142,3557,48,"-1.00","2021-09-29 18:06:37.188886","39",0
2197,3644,48,"-1.00","2021-09-29 18:53:19.026717","39",0
2206,3660,30,"-1.00","2021-09-29 18:58:50.218712","39",0
2210,3667,49,"-1.00","2021-09-29 19:04:29.757605","39",0
2229,3701,49,"-1.00","2021-09-29 19:21:27.098707","39",0
2238,3715,49,"-1.00","2021-09-29 19:30:29.003071","39",0
2242,3722,48,"-1.00","2021-09-29 19:32:50.681898","39",0
2291,3804,49,"-1.00","2021-10-05 10:29:55.058213","40",1
2297,3815,49,"-1.00","2021-10-06 08:05:13.488351","40",0
2364,3917,48,"-1.00","2021-10-06 14:49:18.569541","40",0
2590,4256,49,"-1.00","2021-10-06 17:34:38.473751","40",0
2594,4263,48,"-1.00","2021-10-06 17:37:45.340827","40",0
2610,4286,49,"-1.00","2021-10-06 17:48:22.239572","40",0
2620,4303,49,"-1.00","2021-10-06 17:55:13.872704","40",0
2622,4305,49,"-1.00","2021-10-06 17:55:43.666998","40",0
2632,4322,48,"-1.00","2021-10-06 18:01:16.596035","40",0
2642,4340,47,"-1.00","2021-10-06 18:05:08.997386","40",0
2656,4362,47,"-1.00","2021-10-06 18:15:49.101266","40",0
2664,4374,48,"-1.00","2021-10-06 18:22:45.752572","40",0
2666,4376,47,"-1.00","2021-10-06 18:23:40.804867","40",0
2715,4451,48,"-2.00","2021-10-06 18:55:44.029884","40",0
2735,4484,47,"-1.00","2021-10-06 19:15:27.636132","40",0
2736,4484,48,"-1.00","2021-10-06 19:15:27.636132","40",0
2752,4514,48,"-1.00","2021-10-06 19:24:29.908027","40",0
2790,4572,48,"-1.00","2021-10-08 11:43:20.568622","40",0
2797,4582,48,"-1.00","2021-10-08 14:58:49.77425","40",0
2880,4708,49,"-1.00","2021-10-11 15:16:53.914044","41",0
2883,4711,49,"-1.00","2021-10-11 15:18:07.513689","41",0
2978,4859,49,"-1.00","2021-10-11 16:54:41.255909","41",0
3019,4921,49,"-1.00","2021-10-11 17:38:04.660008","41",0
3021,4923,30,"-1.00","2021-10-11 17:38:57.094161","41",0
3047,4972,30,"-1.00","2021-10-11 17:58:43.701264","41",0
3072,5007,49,"-1.00","2021-10-11 18:15:38.536308","41",0
3092,5041,49,"-1.00","2021-10-11 18:32:08.683142","41",0
3093,5043,49,"-1.00","2021-10-11 18:32:43.121736","41",0
3096,5047,47,"-1.00","2021-10-11 18:34:21.557909","41",0
3138,5113,48,"-1.00","2021-10-11 19:12:17.10815","41",0
3159,5144,48,"-1.00","2021-10-11 19:32:56.781881","41",0
3182,5185,30,"-1.00","2021-10-12 10:43:37.080329","41",0
3184,5188,30,"-4.00","2021-10-12 14:40:32.650258","41",0
3185,5190,47,"-3.00","2021-10-12 14:45:21.725272","41",0
3186,5190,48,"-3.00","2021-10-12 14:45:21.725272","41",0
3187,5192,30,"-1.00","2021-10-12 14:48:34.33271","41",0
3243,5282,49,"-1.00","2021-10-13 14:52:28.589446","41",0
3273,5332,48,"-1.00","2021-10-13 15:21:41.991719","41",0
3335,5420,49,"-1.00","2021-10-13 16:12:06.851842","41",0
3488,5634,30,"-1.00","2021-10-13 18:01:15.662523","41",0
