"operation_id","user_id","gender","type","is_su_member","category_name"
19,145,"m","vut",True,"Nealko"
21,30,"m","fit",True,"Nealko"
22,145,"m","vut",True,"Nealko"
27,38,"m","fit",True,"Cider"
28,145,"m","vut",True,"Nealko"
30,143,"m","fit",True,"Káva"
32,308,"m","fit",False,"Pivo"
34,190,"m","fit",True,"Pivo"
36,617,"m","fit",True,"Pivo"
37,308,"m","fit",False,"Pivo"
39,618,"m","fit",False,"Pivo"
47,68,"m","fit",True,"Pivo"
49,150,"m","fit",False,"Pivo"
51,245,"m","fit",True,"Cider"
53,462,"m","fit",True,"Nealko"
55,9,"m","fit",False,"Pivo"
57,618,"m","fit",False,"Pivo"
59,423,"m","fit",False,"Nealko"
60,308,"m","fit",False,"Pivo"
62,617,"m","fit",True,"Pivo"
64,190,"m","fit",True,"Pivo"
66,194,"m","fit",False,"Nealko"
68,624,"m","fit",False,"Nealko"
70,623,"m","fit",False,"Pivo"
72,423,"m","fit",False,"Nealko"
74,191,"m","fit",True,"Pivo"
76,245,"m","fit",True,"Káva"
78,194,"m","fit",False,"Nealko"
80,622,"m","fit",True,"Nealko"
82,150,"m","fit",False,"Pivo"
84,16,"m","fit",False,"Pivo"
86,191,"m","fit",True,"Pivo"
88,308,"m","fit",False,"Pivo"
90,143,"m","fit",True,"Pivo"
92,395,"m","unk",False,"Pivo"
94,395,"m","unk",False,"Pivo"
96,293,"m","fit",False,"Pivo"
98,293,"m","fit",False,"Pivo"
100,625,"m","fit",False,"Pivo"
102,617,"m","fit",True,"Pivo"
104,604,"m","vut",True,"Pivo"
106,308,"m","fit",False,"Pivo"
108,462,"m","fit",True,"Nealko"
110,68,"m","fit",True,"Pivo"
112,626,"m","fit",False,"Pivo"
114,395,"m","unk",False,"Pivo"
116,627,"m","unk",False,"Pivo"
118,624,"m","fit",False,"Nealko"
120,623,"m","fit",False,"Pivo"
122,423,"m","fit",False,"Nealko"
124,308,"m","fit",False,"Pivo"
126,228,"m","fit",True,"Pivo"
128,617,"m","fit",True,"Pivo"
130,618,"m","fit",False,"Pivo"
133,143,"m","fit",True,"Pivo"
133,143,"m","fit",True,"Nealko"
135,629,"m","fit",False,"Pivo"
137,628,"m","fit",False,"Pivo"
139,150,"m","fit",False,"Nealko"
141,630,"f","fit",False,"Cider"
